"ID";"Kommun";"Andel låg ekonomisk standard";"strata";"Andel röstande"
"21";"Solna";8,7;"låg";86
"2";"Vallentuna";6,1;"låg";89
"4";"Värmdö";6,6;"låg";89
"136";"Partille";7,3;"låg";86
"286";"Luleå";11,2;"medellåg";88
"131";"Laholm";12,7;"medellåg";86
"223";"Malung-Sälen";12,7;"medellåg";87
"158";"Mark";11,9;"medellåg";87
"24";"Norrtälje";12,1;"medellåg";86
"250";"Sundsvall";12,1;"medellåg";86
"184";"Kil";10,7;"medellåg";89
"109";"Höör";11,1;"medellåg";87
"168";"Lysekil";12,9;"medellåg";87
"67";"Vetlanda";15;"medel";86
"217";"Västerås";13,6;"medel";84
"239";"Ovanåker";15,7;"medel";85
"202";"Hallsberg";15,4;"medel";86
"89";"Borgholm";14;"medel";88
"88";"Vimmerby";13,4;"medel";86
"165";"Göteborg";14,9;"medel";83
"229";"Smedjebacken";13,3;"medel";87
"163";"Tibro";15,9;"medel";85
"79";"Torsås";16,4;"medel";88
"122";"Eslöv";13,8;"medel";85
"75";"Markaryd";19,6;"medelhög";83
"41";"Eskilstuna";19,2;"medelhög";82
"93";"Ronneby";19,1;"medelhög";86
"85";"Nybro";19,4;"medelhög";86
"176";"Åmål";17,5;"medelhög";85
"196";"Filipstad";23,4;"hög";81
