"ID";"Kommun";"Andel röstande";"Kluster"
"1";"Upplands Väsby";81;1
"2";"Vallentuna";89;1
"3";"Österåker";88;1
"4";"Värmdö";89;1
"5";"Järfälla";81;1
"6";"Ekerö";91;1
"7";"Huddinge";82;1
"8";"Botkyrka";73;1
"9";"Salem";86;1
"10";"Haninge";80;1
"12";"Upplands-Bro";83;3
"18";"Södertälje";72;4
"24";"Norrtälje";86;3
"25";"Sigtuna";79;3
"26";"Nynäshamn";84;4
"27";"Håbo";88;3
"28";"Älvkarleby";85;3
"29";"Knivsta";90;3
"30";"Heby";86;3
"31";"Tierp";86;3
"32";"Uppsala";88;3
"33";"Enköping";85;3
"34";"Östhammar";86;3
"35";"Vingåker";88;4
"36";"Gnesta";87;4
"37";"Nyköping";87;4
"38";"Oxelösund";NA;4
"39";"Flen";84;4
"40";"Katrineholm";84;4
"41";"Eskilstuna";82;4
"42";"Strängnäs";87;4
"43";"Trosa";90;4
"79";"Torsås";88;9
"80";"Mörbylånga";91;9
"82";"Mönsterås";88;9
"84";"Kalmar";88;9
"85";"Nybro";86;9
"86";"Oskarshamn";87;9
"87";"Västervik";85;9
"89";"Borgholm";88;9
"90";"Gotland";88;9
"96";"Svalöv";86;11
"97";"Staffanstorp";89;11
"98";"Burlöv";76;11
"99";"Vellinge";93;11
"101";"Örkelljunga";85;11
"102";"Bjuv";81;11
"103";"Kävlinge";91;11
"104";"Lomma";94;11
"105";"Svedala";90;11
"144";"Dals-Ed";84;16
"145";"Färgelanda";86;16
"146";"Ale";86;16
"147";"Lerum";91;16
"148";"Vårgårda";88;16
"149";"Bollebygd";90;16
"150";"Grästorp";89;16
"151";"Essunga";88;16
"152";"Karlsborg";90;16
"153";"Gullspång";84;17
"154";"Tranemo";87;17
"155";"Bengtsfors";85;17
"156";"Mellerud";85;17
"157";"Lilla Edet";84;17
"160";"Herrljunga";88;17
"161";"Vara";86;17
"162";"Götene";89;17
"163";"Tibro";85;17
"186";"Torsby";84;21
"187";"Storfors";86;21
"188";"Hammarö";92;21
"190";"Forshaga";88;21
"195";"Kristinehamn";86;21
"196";"Filipstad";81;21
"197";"Hagfors";83;21
"222";"Vansbro";84;24
"223";"Malung-Sälen";87;24
"224";"Gagnef";89;24
"225";"Leksand";88;24
"229";"Smedjebacken";87;24
"230";"Mora";86;24
"232";"Borlänge";84;24
"233";"Säter";88;24
"234";"Hedemora";84;24
"236";"Ludvika";85;24
"254";"Ragunda";85;28
"256";"Krokom";88;28
"257";"Strömsund";83;28
"261";"Östersund";86;28
"268";"Storuman";83;28
"270";"Dorotea";81;28
"272";"Vilhelmina";82;28
"273";"Åsele";83;28
"275";"Lycksele";84;28
